n,x,y,lx,ly,rx,ry,xT,yT,zT,clx,cly,clz,crx,cry,crz
0.0,0.7334,-4.9397,3.5087,-4.3093,-2.0631,-5.1669,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.004,-0.0302
3.9699,0.7391,-4.9568,3.7095,-4.7536,-2.0802,-5.4778,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0303
7.9582,0.7391,-4.9454,3.5432,-4.3498,-2.086,-5.4031,0.0,0.0,0.4433,-0.0322,0.0028,-0.0293,0.0325,0.004,-0.0302
11.9413,0.7506,-4.9511,3.7038,-4.6902,-2.0688,-5.4778,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
15.9812,0.7506,-4.9454,3.4626,-4.4529,-2.1319,-5.5126,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
19.9738,0.7678,-4.9397,3.8015,-4.6563,-2.0804,-5.4379,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
23.9573,0.7678,-4.9283,3.6925,-4.5062,-2.1892,-5.3055,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0303
27.9564,0.7564,-4.9169,3.4916,-4.5281,-2.149,-5.3284,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
31.9536,0.7564,-4.9169,3.5718,-4.5572,-2.0861,-5.2593,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
35.943,0.7621,-4.9397,3.5433,-4.5572,-2.1032,-5.4664,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0303
39.95,0.7621,-4.9397,3.5028,-4.643,-2.1262,-5.4265,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
43.9701,0.7563,-4.9511,3.4399,-4.4185,-2.1262,-5.4436,0.0,0.0,0.4433,-0.0322,0.0028,-0.0293,0.0325,0.004,-0.0302
47.9262,0.7449,-4.9397,3.543,-4.5396,-2.1777,-5.4436,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0302
51.9299,0.7391,-4.9568,3.4457,-4.6893,-2.0574,-5.4664,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0303
55.9409,0.7334,-4.9568,3.635,-4.5114,-2.2063,-5.5645,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0303
59.9998,0.7277,-4.9745,3.5316,-4.5915,-2.1893,-5.7608,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.0041,-0.0302
63.9521,0.7162,-4.9802,3.4686,-4.7007,-2.0746,-5.4607,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
67.984,0.7105,-4.9916,3.4457,-4.7584,-2.1032,-5.2822,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0303
71.9532,0.7162,-4.9973,3.5604,-4.6321,-2.1205,-5.4208,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0302
75.9427,0.7105,-5.043,3.5947,-5.0354,-2.1834,-5.6279,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
79.9319,0.7105,-5.0492,3.5777,-4.5343,-2.2409,-5.6341,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0303
83.971,0.7105,-5.0372,3.543,-4.4705,-2.1491,-5.4436,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.004,-0.0302
87.9697,0.7219,-5.0144,3.7556,-4.0169,-2.1779,-5.4613,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.004,-0.0302
92.1056,0.7219,-5.0258,3.6406,-4.5343,-2.2408,-5.6398,0.0,0.0,0.4433,-0.0322,0.0028,-0.0293,0.0325,0.004,-0.0302
95.9468,0.7105,-5.0315,3.4224,-4.706,-2.2408,-5.5246,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
99.9354,0.7105,-5.0315,3.6578,-4.592,-2.2351,-5.536,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0303
104.0113,0.7162,-5.0144,3.7155,-4.7079,-2.2293,-5.3112,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0303
107.968,0.7277,-5.0144,3.6463,-4.6035,-2.1033,-5.5474,0.0,0.0,0.4433,-0.0322,0.0028,-0.0293,0.0325,0.004,-0.0302
111.9651,0.7219,-5.0258,3.4913,-4.787,-2.2409,-5.4498,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
116.0079,0.7219,-5.043,3.5603,-4.7818,-2.1146,-5.5874,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
119.9676,0.7105,-5.0315,3.4054,-4.8213,-2.1778,-5.536,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0303
123.9648,0.7163,-5.0435,3.5947,-4.8337,-2.2007,-5.5879,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0302
127.9672,0.7105,-5.0663,3.48,-4.7698,-2.1377,-5.5936,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
131.9673,0.699,-5.0891,3.4856,-4.7179,-2.2523,-5.3289,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0303
135.9278,0.699,-5.0834,3.5947,-4.8452,-2.1951,-5.2713,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
139.9299,0.699,-5.0891,3.5318,-4.9143,-2.2121,-5.4784,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0303
143.9858,0.699,-5.0777,3.635,-4.5114,-2.2063,-5.3169,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0303
148.0321,0.6933,-5.0948,3.4626,-4.7408,-2.1778,-5.7089,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.0041,-0.0302
151.9441,0.6876,-5.0948,3.5948,-4.828,-2.1548,-5.3803,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0303
155.918,0.6876,-5.072,3.417,-4.2803,-2.2122,-5.5303,0.0,0.0,0.4433,-0.0322,0.0028,-0.0293,0.0325,0.004,-0.0302
159.9344,0.6876,-5.0663,3.6235,-4.6554,-2.1434,-5.4955,0.0,0.0,0.4433,-0.0322,0.0028,-0.0293,0.0325,0.004,-0.0302
163.9501,0.6818,-5.0258,3.3651,-4.0611,-2.2122,-5.5246,0.0,0.0,0.4433,-0.0322,0.0028,-0.0293,0.0325,0.004,-0.0302
167.9241,0.6933,-5.003,3.652,-4.4595,-2.086,-5.3974,0.0,0.0,0.4433,-0.0322,0.0028,-0.0293,0.0325,0.004,-0.0302
171.9375,0.6991,-4.9859,3.6638,-4.6096,-2.1719,-5.3341,0.0,0.0,0.4433,-0.0322,0.0028,-0.0293,0.0325,0.004,-0.0302
175.9409,0.7105,-4.974,3.6177,-4.4537,-2.149,-5.4664,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.004,-0.0302
179.9426,0.7219,-4.9625,3.6466,-4.4656,-2.0917,-5.4031,0.0,0.0,0.4433,-0.0322,0.0028,-0.0293,0.0325,0.004,-0.0302
183.9481,0.7334,-4.9625,3.6578,-4.6554,-2.1033,-5.5474,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0303
187.9398,0.7334,-4.974,3.6465,-4.4137,-2.218,-5.6918,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.0041,-0.0302
191.9467,0.7391,-4.9625,3.6983,-4.6387,-2.1949,-5.5531,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0303
