n,x,y,lx,ly,rx,ry,xT,yT,zT,clx,cly,clz,crx,cry,crz
0.0,0.6532,-5.584,3.0725,-4.9752,-2.1205,-6.0489,NaN,NaN,1.0,-0.0323,0.0029,-0.0291,0.0326,0.0041,-0.0298
4.0017,0.6417,-5.5897,3.2561,-5.2583,-2.1033,-6.0141,NaN,NaN,1.0,-0.0323,0.0029,-0.0291,0.0326,0.0041,-0.0298
8.0621,0.636,-5.5897,3.2333,-5.2412,-2.1261,-6.0312,NaN,NaN,1.0,-0.0323,0.0029,-0.0291,0.0326,0.0041,-0.0298
12.0102,0.6417,-5.584,3.2963,-5.1607,-1.8969,-6.1344,NaN,NaN,1.0,-0.0323,0.0029,-0.0291,0.0325,0.0041,-0.0298
16.0103,0.6246,-5.5612,3.216,-4.8089,-2.0286,-6.0768,NaN,NaN,1.0,-0.0323,0.0029,-0.0291,0.0325,0.0041,-0.0298
20.0193,0.636,-5.5669,3.2503,-5.2755,-1.8625,-6.1458,NaN,NaN,1.0,-0.0323,0.0029,-0.0291,0.0325,0.0041,-0.0299
24.0035,0.6417,-5.584,3.2735,-5.2183,-2.1147,-6.2794,NaN,NaN,1.0,-0.0323,0.0029,-0.029,0.0326,0.0041,-0.0298
27.9968,0.636,-5.584,3.2505,-5.1778,-1.9428,-6.1636,NaN,NaN,1.0,-0.0323,0.0029,-0.0291,0.0325,0.0041,-0.0298
32.027,0.6303,-5.5783,3.2618,-5.2698,-1.9999,-5.9211,NaN,NaN,1.0,-0.0323,0.0029,-0.0291,0.0325,0.0041,-0.03
36.4186,0.6302,-5.6068,3.3594,-5.328,-2.1148,-6.1179,NaN,NaN,1.0,-0.0323,0.0029,-0.029,0.0326,0.0041,-0.0299
40.0448,0.6246,-5.6131,3.1929,-5.1139,-1.9771,-6.1863,NaN,NaN,1.0,-0.0323,0.0029,-0.0291,0.0325,0.0041,-0.0298
44.0044,0.6417,-5.6359,3.2274,-5.2698,-1.8681,-6.1743,NaN,NaN,1.0,-0.0323,0.0029,-0.0291,0.0325,0.0041,-0.0298
48.0291,0.6417,-5.6359,3.1758,-5.2292,-2.0574,-6.1293,NaN,NaN,1.0,-0.0323,0.0029,-0.0291,0.0325,0.0041,-0.0298
52.0455,0.6417,-5.6302,3.2333,-5.051,-2.0058,-6.1173,NaN,NaN,1.0,-0.0323,0.0029,-0.0291,0.0325,0.0041,-0.0298
55.9971,0.636,-5.6416,3.2159,-5.2926,-2.0517,-6.1984,NaN,NaN,1.0,-0.0323,0.0029,-0.029,0.0326,0.0041,-0.0299
60.004,0.6246,-5.6764,3.147,-5.4537,-2.1205,-6.2275,NaN,NaN,1.0,-0.0323,0.0029,-0.029,0.0326,0.0041,-0.0299
64.1397,0.6131,-5.6764,3.1585,-5.2001,-2.0861,-6.2218,NaN,NaN,1.0,-0.0323,0.0029,-0.029,0.0326,0.0041,-0.0299
