n,x,y,lx,ly,rx,ry,xT,yT,zT,clx,cly,clz,crx,cry,crz
0.0,4.8702,-0.1323,6.9033,-0.0462,2.5793,-0.5162,NaN,NaN,0.6,-0.0322,0.0031,-0.0295,0.0324,0.0041,-0.0291
4.0014,4.8702,-0.1495,6.921,-0.075,2.5907,-0.5908,NaN,NaN,0.6,-0.0322,0.0031,-0.0295,0.0324,0.0041,-0.0292
8.0036,4.8759,-0.1495,6.8748,-0.15,2.7914,-0.4532,NaN,NaN,0.6,-0.0322,0.0031,-0.0295,0.0323,0.0041,-0.0291
11.9821,4.8759,-0.1265,6.9729,0.0404,2.5276,-0.4187,NaN,NaN,0.6,-0.0322,0.003,-0.0296,0.0324,0.0041,-0.0292
16.0088,4.8645,-0.1323,6.9502,0.052,2.4242,-0.5161,NaN,NaN,0.6,-0.0322,0.0031,-0.0295,0.0324,0.0041,-0.0291
20.0128,4.8531,-0.1438,6.9097,-0.1501,2.5735,-0.6424,NaN,NaN,0.6,-0.0322,0.0031,-0.0296,0.0324,0.0041,-0.0292
24.0445,4.8474,-0.1725,6.8058,-0.2712,2.6653,-0.6769,NaN,NaN,0.6,-0.0322,0.0031,-0.0295,0.0324,0.0041,-0.0292
28.0033,4.8474,-0.1898,7.0191,-0.1963,2.6364,-0.7227,NaN,NaN,0.6,-0.0322,0.0031,-0.0295,0.0324,0.0041,-0.0291
32.0832,4.8702,-0.1955,7.1115,-0.1905,2.6997,-0.5966,NaN,NaN,0.6,-0.0322,0.0031,-0.0296,0.0324,0.0041,-0.0291
35.9958,4.8816,-0.1955,6.9615,0.1154,2.7283,-0.6252,NaN,NaN,0.6,-0.0322,0.003,-0.0296,0.0323,0.0041,-0.0291
40.0975,4.8992,-0.2128,7.0418,-0.1963,2.7398,-0.6482,NaN,NaN,0.6,-0.0322,0.0031,-0.0296,0.0324,0.0041,-0.0292
44.0034,4.8992,-0.2128,6.9729,0.0173,2.5046,-0.5506,NaN,NaN,0.6,-0.0322,0.0031,-0.0295,0.0324,0.0041,-0.0291
47.9822,4.9106,-0.23,7.0367,-0.4561,2.7226,-0.6252,NaN,NaN,0.6,-0.0322,0.0031,-0.0295,0.0324,0.0041,-0.0291
51.9833,4.9049,-0.2358,7.0596,-0.1559,2.5275,-0.5219,NaN,NaN,0.6,-0.0322,0.0031,-0.0295,0.0324,0.0041,-0.0292
55.9909,4.9163,-0.2645,6.9905,-0.4445,2.694,-0.5966,NaN,NaN,0.6,-0.0322,0.0031,-0.0295,0.0324,0.0041,-0.0291
59.991,4.922,-0.2703,6.9729,-0.1097,2.6308,-0.5621,NaN,NaN,0.6,-0.0322,0.0031,-0.0296,0.0324,0.0041,-0.0291
64.0516,4.9335,-0.2645,7.071,-0.1386,2.6709,-0.499,NaN,NaN,0.6,-0.0322,0.003,-0.0295,0.0324,0.0041,-0.0291
67.9859,4.9563,-0.2415,7.1634,-0.1386,2.7053,-0.3958,NaN,NaN,0.6,-0.0322,0.003,-0.0296,0.0324,0.0041,-0.0291
71.9955,4.9506,-0.2358,6.9842,-0.3117,2.5791,-0.4244,NaN,NaN,0.6,-0.0322,0.0031,-0.0295,0.0324,0.0041,-0.0291
76.0022,4.9449,-0.2243,7.0077,-0.2136,2.6938,-0.3097,NaN,NaN,0.6,-0.0322,0.003,-0.0295,0.0324,0.0041,-0.0291
79.9877,4.9682,-0.2358,7.2209,-0.1097,2.9177,-0.7172,NaN,NaN,0.6,-0.0322,0.003,-0.0296,0.0323,0.0041,-0.0291
84.0963,4.9625,-0.2243,7.0248,-0.0058,2.6594,-0.5736,NaN,NaN,0.6,-0.0322,0.003,-0.0295,0.0324,0.0041,-0.0291
87.9804,4.9739,-0.2186,6.99,-0.0289,2.711,-0.3958,NaN,NaN,0.6,-0.0322,0.003,-0.0295,0.0324,0.0041,-0.0291
91.9851,4.9563,-0.207,6.9957,0.0577,2.4761,-0.9005,NaN,NaN,0.6,-0.0322,0.003,-0.0295,0.0324,0.0041,-0.0291
