ce_cms_device  | 2025-07-28 11:30:23,048 - INFO - ESA initialized for device vr_device_9080
ce_cms_device  | 2025-07-28 11:30:23,054 - INFO - Starting CE-CMS Device Layer Simulation
ce_cms_device  | 2025-07-28 11:30:23,056 - INFO - Sensor simulation started for device vr_device_9080
ce_cms_device  |  * Serving Flask app 'simulate_sensors'
ce_cms_device  |  * Debug mode: off
ce_cms_device  | 2025-07-28 11:30:23,069 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
ce_cms_device  |  * Running on all addresses (0.0.0.0)
ce_cms_device  |  * Running on http://127.0.0.1:5000
ce_cms_device  |  * Running on http://172.20.0.2:5000
ce_cms_device  | 2025-07-28 11:30:23,070 - INFO - [33mPress CTRL+C to quit[0m
ce_cms_device  | 2025-07-28 11:30:23,772 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:23] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:23,779 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:23] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:28,804 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:28] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:28,809 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:28] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:33,837 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:33] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:33,841 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:33] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:38,868 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:38] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:38,873 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:38] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:43,899 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:43] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:43,903 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:43] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:48,929 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:48] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:48,934 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:48] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:52,994 - INFO - 172.20.0.1 - - [28/Jul/2025 11:30:52] "HEAD /health HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:53,964 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:53] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:53,969 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:53] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:58,998 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:58] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:30:59,003 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:59] "GET /sensor_data HTTP/1.1" 200 -
