ce_cms_fog  | 2025-07-28 11:30:22,242 - INFO - Starting CE-CMS Fog Layer Proxy
ce_cms_fog  |  * Serving Flask app 'traffic_proxy'
ce_cms_fog  |  * Debug mode: off
ce_cms_fog  | 2025-07-28 11:30:22,246 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
ce_cms_fog  |  * Running on all addresses (0.0.0.0)
ce_cms_fog  |  * Running on http://127.0.0.1:6000
ce_cms_fog  |  * Running on http://172.20.0.3:6000
ce_cms_fog  | 2025-07-28 11:30:22,246 - INFO - [33mPress CTRL+C to quit[0m
ce_cms_fog  | 2025-07-28 11:30:23,068 - INFO - Assigned device vr_device_9080 to VLAN guest
ce_cms_fog  | 2025-07-28 11:30:23,076 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:23] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:23,784 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:23] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:23,790 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:23] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:24,094 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:24] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:25,107 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:25] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:26,121 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:26] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:26,897 - INFO - 127.0.0.1 - - [28/Jul/2025 11:30:26] "GET /health HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:27,134 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:27] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:28,146 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:28] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:28,814 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:28] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:28,818 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:28] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:29,159 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:29] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:30,172 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:30] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:31,185 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:31] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:32,201 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:32] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:33,215 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:33] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:33,846 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:33] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:33,849 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:33] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:34,229 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:34] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:35,244 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:35] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:36,259 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:36] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:37,276 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:37] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:38,292 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:38] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:38,877 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:38] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:38,881 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:38] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:39,307 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:39] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:40,320 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:40] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:41,336 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:41] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:42,350 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:42] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:43,366 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:43] "POST /device_data HTTP/1.1" 200 -
