ce_cms_metrics  | 2025-07-28 11:30:23,760 - INFO - Starting CE-CMS Metrics Logger
ce_cms_metrics  | 2025-07-28 11:30:23,760 - INFO - Starting continuous metrics collection
ce_cms_metrics  |  * Serving Flask app 'logger'
ce_cms_metrics  |  * Debug mode: off
ce_cms_metrics  | 2025-07-28 11:30:23,771 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
ce_cms_metrics  |  * Running on all addresses (0.0.0.0)
ce_cms_metrics  |  * Running on http://127.0.0.1:8000
ce_cms_metrics  |  * Running on http://172.20.0.5:8000
ce_cms_metrics  | 2025-07-28 11:30:23,772 - INFO - [33mPress CTRL+C to quit[0m
ce_cms_metrics  | 2025-07-28 11:30:27,947 - INFO - 127.0.0.1 - - [28/Jul/2025 11:30:27] "GET /health HTTP/1.1" 200 -
ce_cms_metrics  | 2025-07-28 11:30:54,710 - INFO - 172.20.0.1 - - [28/Jul/2025 11:30:54] "HEAD /health HTTP/1.1" 200 -
ce_cms_metrics  | 2025-07-28 11:30:55,266 - INFO - 172.20.0.1 - - [28/Jul/2025 11:30:55] "POST /start_collection HTTP/1.1" 200 -
ce_cms_metrics  | 2025-07-28 11:30:58,079 - INFO - 127.0.0.1 - - [28/Jul/2025 11:30:58] "GET /health HTTP/1.1" 200 -
ce_cms_metrics  | 2025-07-28 11:31:28,191 - INFO - 127.0.0.1 - - [28/Jul/2025 11:31:28] "GET /health HTTP/1.1" 200 -
ce_cms_metrics  | 2025-07-28 11:31:58,317 - INFO - 127.0.0.1 - - [28/Jul/2025 11:31:58] "GET /health HTTP/1.1" 200 -
ce_cms_metrics  | 2025-07-28 11:32:28,444 - INFO - 127.0.0.1 - - [28/Jul/2025 11:32:28] "GET /health HTTP/1.1" 200 -
ce_cms_metrics  | 2025-07-28 11:32:58,562 - INFO - 127.0.0.1 - - [28/Jul/2025 11:32:58] "GET /health HTTP/1.1" 200 -
ce_cms_metrics  | 2025-07-28 11:33:28,673 - INFO - 127.0.0.1 - - [28/Jul/2025 11:33:28] "GET /health HTTP/1.1" 200 -
ce_cms_metrics  | 2025-07-28 11:33:40,949 - INFO - Exported performance metrics to /app/results/metrics/performance_20250728_113340.csv
ce_cms_metrics  | 2025-07-28 11:33:40,965 - INFO - Exported device metrics to /app/results/metrics/device_metrics_20250728_113340.csv
ce_cms_metrics  | 2025-07-28 11:33:40,976 - INFO - Exported fog metrics to /app/results/metrics/fog_metrics_20250728_113340.csv
ce_cms_metrics  | 2025-07-28 11:33:40,990 - INFO - Exported cloud metrics to /app/results/metrics/cloud_metrics_20250728_113340.csv
ce_cms_metrics  | 2025-07-28 11:33:40,991 - INFO - 172.20.0.1 - - [28/Jul/2025 11:33:40] "POST /export_metrics HTTP/1.1" 200 -
