timestamp,layer,network_status,traffic_stats,collection_success
2025-07-28T11:30:23.791486+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 1, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702223.0692084}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 1}",True
2025-07-28T11:30:28.819422+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 6, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702228.1410565}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 6}",True
2025-07-28T11:30:33.850605+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 11, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702233.209128}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 11}",True
2025-07-28T11:30:38.882543+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 16, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702238.2847142}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 16}",True
2025-07-28T11:30:43.911868+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 21, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702243.3588228}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 21}",True
2025-07-28T11:30:48.945688+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 26, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702248.4349668}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 26}",True
2025-07-28T11:30:53.979470+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 31, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702253.514064}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 31}",True
2025-07-28T11:30:59.013342+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 36, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702258.5896492}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 36}",True
2025-07-28T11:31:04.046757+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 41, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702263.682892}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 41}",True
2025-07-28T11:31:09.083234+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 46, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702268.7636228}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 46}",True
2025-07-28T11:31:14.111186+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 51, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702274.0061922}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 51}",True
2025-07-28T11:31:19.149294+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 55, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702278.1250575}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 55}",True
